REMOVE THIS COLUMN (KEEP THIS ROW),node_id,url_alias,title,langcode,uuid,uid,changed,created,field_description,field_extent,file
LABEL (REMOVE THIS ROW),Node ID,URL alias,Title,Drupal language code,UUID,User ID,Changed,Created,Description,Extent,
NUMBER OF VALUES ALLOWED (REMOVE THIS ROW),1,1,1,1,1,1,1,1,1,unlimited,
,2941,/group/james-merrill-linn-bucknellian-war/april-1-1862,"April 1, 1862",en,00c2b1d5-9809-4775-bd1c-7e0cd11b1cfa,9,2026-03-04T19:27:54+00:00,2026-01-28T02:40:21+00:00,,,1862-04-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml
,2895,/group/james-merrill-linn-bucknellian-war/february-2-1862,"February 2, 1862",en,593a45dd-52a4-4a6b-933b-936fdd57ec29,9,2026-03-02T16:26:28+00:00,2026-01-28T02:00:00+00:00,,,1862-02-02_0_0_0_0_0_0.xml
,2938,/group/james-merrill-linn-bucknellian-war/march-29-1862,"March 29, 1862",en,e52ed187-cf12-4f51-a75e-a61b854997ae,9,2026-03-04T19:39:14+00:00,2026-01-28T02:37:49+00:00,,,1862-03-29_0_0_0_0_0_0_0_0_0_0.xml
,2870,/group/james-merrill-linn-bucknellian-war/january-7-1862,"January 7, 1862",en,935fcd41-b452-4c5b-ab1c-38cc31b48a10,9,2026-03-18T00:54:15+00:00,2026-01-28T01:29:48+00:00,,,1862-01-07_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0.xml
,2921,/group/james-merrill-linn-bucknellian-war/march-1-1862,"March 1, 1862",en,e4df13ab-cb94-4126-8fbe-24707dfe1754,9,2026-03-08T16:34:34+00:00,2026-01-28T02:23:41+00:00,,,1862-03-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml
,2953,/group/james-merrill-linn-bucknellian-war/april-18-1862,"April 18, 1862",en,cdad2605-e960-47e2-b70c-f68adb48866a,9,2026-03-18T21:32:29+00:00,2026-01-28T02:51:25+00:00,,,1862-04-18_0_0_0_0_0_0_0_0_0_0_0_1_0.xml
,2888,/group/james-merrill-linn-bucknellian-war/january-26-1862,"January 26, 1862",en,88393373-a534-4af1-9b94-1e31aafe0bdd,9,2026-03-05T01:51:31+00:00,2026-01-28T01:53:40+00:00,,,1862-01-26_0_0_0_0_0_0_0_0_0_0_0_0.xml
,2939,/group/james-merrill-linn-bucknellian-war/march-30-1862,"March 30, 1862",en,52b10eb2-d8c3-4d15-862a-f7a895c4d637,9,2026-03-04T19:38:06+00:00,2026-01-28T02:38:43+00:00,,,1862-03-30_0_0_0_0_0_0_0_0_0_0.xml
,2894,/group/james-merrill-linn-bucknellian-war/february-1-1862,"February 1, 1862",en,de264b21-b159-40cf-9f22-ed806eaf948b,9,2026-03-08T17:27:55+00:00,2026-01-28T01:59:17+00:00,,,1862-02-01_0_0_0_0_0_0_0_0_0.xml
,2920,/group/james-merrill-linn-bucknellian-war/february-28-1862,"February 28, 1862",en,ec9ee537-1b1f-4f59-a79c-3f69e2ddaf0f,9,2026-03-04T16:30:22+00:00,2026-01-28T02:22:54+00:00,,,1862-02-28_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml
,2904,/group/james-merrill-linn-bucknellian-war/february-11-1862,"February 11, 1862",en,2747e351-e8ef-494f-ab9b-e9b4cba4b54c,9,2026-03-22T15:53:18+00:00,2026-01-28T02:08:09+00:00,,,1862-02-11_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0.xml
,2979,/group/james-merrill-linn-bucknellian-war/june-9-1862,"June 9, 1862",en,b56b1155-1583-40a0-9f94-0257bfd96d54,9,2026-03-02T00:06:55+00:00,2026-01-28T03:16:43+00:00,,,1862-06-09_0_0_0_0.xml
,2940,/group/james-merrill-linn-bucknellian-war/march-31-1862,"March 31, 1862",en,989cecd3-84d2-4a32-8471-d350d47d3565,9,2026-03-02T16:16:53+00:00,2026-01-28T02:39:34+00:00,,,1862-03-31_0_0_0_0_0_0_0_0_0_0_0.xml
,2978,/group/james-merrill-linn-bucknellian-war/june-8-1862,"June 8, 1862",en,6df4330a-26bf-41cd-92d4-7c29710f9227,9,2026-03-02T00:03:23+00:00,2026-01-28T03:15:43+00:00,,,1862-06-08_0_0_0_0.xml
,2893,/group/james-merrill-linn-bucknellian-war/january-31-1862,"January 31, 1862",en,283ecd99-fdb8-4020-a643-8635608dbf43,9,2026-03-02T16:40:55+00:00,2026-01-28T01:58:31+00:00,,,1862-01-31_0_0_0_0_0_0.xml
,2919,/group/james-merrill-linn-bucknellian-war/february-27-1862,"February 27, 1862",en,69e5ba67-9626-46aa-8683-c79826ddf4b9,9,2026-03-04T16:27:52+00:00,2026-01-28T02:22:08+00:00,,,1862-02-27_0_0_0_0_0_1_0_0_0_1_0_0_0.xml
,2977,/group/james-merrill-linn-bucknellian-war/june-7-1862,"June 7, 1862",en,7c9e0090-2eb6-4a8f-8bf3-57937eec9a1e,9,2026-03-18T14:33:40+00:00,2026-01-28T03:14:52+00:00,,,1862-06-07_0_0_0_0_0_0_0_0_0_0_1.xml
,2937,/group/james-merrill-linn-bucknellian-war/march-28-1862,"March 28, 1862",en,81846761-6667-4738-aa6b-7ab7c79c34fc,9,2026-03-04T19:40:51+00:00,2026-01-28T02:37:01+00:00,,,1862-03-28_0_0_0_0.xml
,2936,/group/james-merrill-linn-bucknellian-war/march-27-1862,"March 27, 1862",en,d0aba595-3a0d-4b36-a2ab-1f9e4c374899,9,2026-03-04T21:26:02+00:00,2026-01-28T02:36:01+00:00,,,1862-03-27_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml
,2913,/group/james-merrill-linn-bucknellian-war/february-21-1862,"February 21, 1862",en,df0e2b53-f537-4bce-82a5-fe93002788d2,9,2026-03-04T19:16:44+00:00,2026-01-28T02:16:59+00:00,,,1862-02-21_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml
,2935,/group/james-merrill-linn-bucknellian-war/march-26-1862,"March 26, 1862",en,29477677-2a1a-4ddf-a108-ad50fd97190e,9,2026-03-04T21:27:19+00:00,2026-01-28T02:34:57+00:00,,,1862-03-26_0_0_0_0_0_0_0.xml
,2909,/group/james-merrill-linn-bucknellian-war/february-17-1862,"February 17, 1862",en,5260373a-680e-4af9-bc8d-c185134b9005,9,2026-03-04T18:47:42+00:00,2026-01-28T02:13:38+00:00,,,1862-02-17_0_0_0_0_0_0_0_0_0_0_0_0_0.xml
,2852,/group/james-merrill-linn-bucknellian-war/december-16-1861,"December 16, 1861",en,40d0fe09-b0b8-4dc7-b1af-22edb3c7d3d0,9,2026-03-08T17:47:43+00:00,2026-01-28T01:04:14+00:00,,,1861-12-16_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml
,2915,/group/james-merrill-linn-bucknellian-war/february-23-1862,"February 23, 1862",en,7391af61-1b21-4500-9da7-17d9a2e7ca17,9,2026-03-04T19:19:00+00:00,2026-01-28T02:18:43+00:00,,,1862-02-23_0_0_0_0_0_0_0.xml
,2917,/group/james-merrill-linn-bucknellian-war/february-25-1862,"February 25, 1862",en,73b7d393-cc50-41d1-b20f-df283c87ebab,9,2026-03-04T19:21:19+00:00,2026-01-28T02:20:24+00:00,,,1862-02-25_0_0_0_0_0_0_0_0_0.xml
,2901,/group/james-merrill-linn-bucknellian-war/february-8-1862,"February 8, 1862",en,c3520ded-e313-4069-aaab-25f0d1bd67bb,9,2026-03-17T21:09:44+00:00,2026-01-28T02:04:54+00:00,,,1862-02-08_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml
,2887,/group/james-merrill-linn-bucknellian-war/january-25-1862,"January 25, 1862",en,88cae4da-cd54-459a-ab9e-f2f7196a0bc7,9,2026-03-15T18:53:37+00:00,2026-01-28T01:52:43+00:00,,,1862-01-25_0_0_0_0_0_1_0.xml
,2908,/group/james-merrill-linn-bucknellian-war/february-16-1862,"February 16, 1862",en,33c52595-b875-4428-b23d-9b0fe7559829,9,2026-03-04T18:46:38+00:00,2026-01-28T02:11:51+00:00,,,1862-02-16_0_0_0_0_0_0_0_0_0_0_0.xml
,2955,/group/james-merrill-linn-bucknellian-war/april-21-1862,"April 21, 1862",en,466f2654-1682-4b01-9198-e166ad80010b,9,2026-03-18T20:58:37+00:00,2026-01-28T02:54:05+00:00,,,1862-04-21_0_0_0_0_0_0_0_0_0_0.xml
,2916,/group/james-merrill-linn-bucknellian-war/february-24-1862,"February 24, 1862",en,d55850b0-a99a-4215-adf6-5c4c99876e5d,9,2026-03-04T19:20:11+00:00,2026-01-28T02:19:36+00:00,,,1862-02-24_0_0_0_0_0_0_0_0_0_0.xml
,2886,/group/james-merrill-linn-bucknellian-war/january-24-1862,"January 24, 1862",en,06c9d88f-048b-49b6-9a51-97dfe064450b,9,2026-03-15T18:51:34+00:00,2026-01-28T01:51:49+00:00,,,1862-01-24_1_0_0_0_0_0_0_0.xml
,2932,/group/james-merrill-linn-bucknellian-war/march-23-1862,"March 23, 1862",en,26005169-7bfd-4c20-9b1d-aada4d2d18fa,9,2026-03-18T00:11:48+00:00,2026-01-28T02:32:15+00:00,,,1862-03-23_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml
,2907,/group/james-merrill-linn-bucknellian-war/february-15-1862,"February 15, 1862",en,3233d3a4-5453-43bc-b8e8-7fc337eb21c2,9,2026-03-03T14:15:42+00:00,2026-01-28T02:11:00+00:00,,,1862-02-15_0_0_0_0_0_0_0_0.xml
,2865,/group/james-merrill-linn-bucknellian-war/december-29-1861,"December 29, 1861",en,14955abf-1672-4977-8551-c0ec2072d3cd,9,2026-03-02T16:36:57+00:00,2026-01-28T01:22:34+00:00,,,1861-12-29_0_0_0_0_0_0_0_0_0_0.xml
,2899,/group/james-merrill-linn-bucknellian-war/february-6-1862,"February 6, 1862",en,7cc027ef-ba46-46aa-a7d9-b56e09a99266,9,2026-03-04T16:30:58+00:00,2026-01-28T02:03:16+00:00,,,1862-02-06_0_0_0_0_0_0_0.xml
,2885,/group/james-merrill-linn-bucknellian-war/january-23-1862,"January 23, 1862",en,1920cb1a-ba3d-4105-b9be-fb056124e420,9,2026-03-15T18:50:57+00:00,2026-01-28T01:50:56+00:00,,,1862-01-23_0_0_0_0_0_0_0_0.xml
,2993,/group/james-merrill-linn-bucknellian-war/june-30-1862,"June 30, 1862",en,ce4fe802-497b-4832-a341-5f64e5a5b836,9,2026-03-12T18:41:45+00:00,2026-01-28T03:28:17+00:00,,,1862-06-30_0_0_0_0_0_0_0_0_0_0.xml
