element,key,ref,type,tagged_content,date,source_file
"name","","","weather","snowing","","1862-02-10.xml"
"objectName","","","vehicle","Cossack","","1862-02-10.xml"
"persName","John Blair Linn","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper051","","Lt Blair","","1862-02-10.xml"
"persName","John Brown","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper052","real","Brown & Conolly","","1862-02-10.xml"
"name","","","weather","rained","","1862-02-10.xml"
"persName","","","","cook","","1862-02-10.xml"
"objectName","","","","boat","","1862-02-10.xml"
"objectName","","","","biscuit","","1862-02-10.xml"
"objectName","","","","coffee","","1862-02-10.xml"
"placeName","","","ship","Cossack","","1862-02-10.xml"
"persName","Dick Coulter","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper025","","Dick","","1862-02-10.xml"
"objectName","","","vehicle","boat","","1862-02-10.xml"
"name","","","weather","snowing","","1862-02-10.xml"
"objectName","","","","clothes","","1862-02-10.xml"
"objectName","","","","blankets","","1862-02-10.xml"
"objectName","","","","fire","","1862-02-10.xml"
"objectName","","","nature","wood","","1862-02-10.xml"
"objectName","","","vehicle","Cossack","","1862-02-10.xml"
"placeName","Elizabeth City","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl022","City","Elizabeth City","","1862-02-10.xml"
"objectName","","","","gunboats","","1862-02-10.xml"
"objectName","","","nature","fire","","1862-02-10.xml"
"objectName","","","equipment","guns","","1862-02-10.xml"
"placeName","","","place","City","","1862-02-10.xml"
"persName","Capt. Rowan","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper126","real","Capt Rowan","","1862-02-10.xml"
"objectName","","","","fire","","1862-02-10.xml"
"persName","Capt. Rowan","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper126","","Rowan","","1862-02-10.xml"
