element,key,ref,type,tagged_content,date,source_file
"persName","Aaron Smith","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper006","real","Smith","","1862-02-25.xml"
"placeName","","","building","hospital","","1862-02-25.xml"
"name","","","weather","very pleasant","","1862-02-25.xml"
"persName","Dick Coulter","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper025","","Dick","","1862-02-25.xml"
"placeName","","","base","good quarters","","1862-02-25.xml"
"objectName","","","equipment","couple of boxes","","1862-02-25.xml"
"persName","Thomas Grier","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper076","real","Tom Grier","","1862-02-25.xml"
