element,key,ref,type,tagged_content,date,source_file
"placeName","Camp Union","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnp0l11","","Camp Union","","1861-12-19.xml"
"placeName","Annapolis, MD","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl002","","Annapolis Md","","1861-12-19.xml"
"name","","","weather","Another bright, fine day","","1861-12-19.xml"
"persName","John Foster","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper055","real","Gen Foster","","1861-12-19.xml"
"persName","Thomas Holliday Hicks","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper077","","Gov Hicks","","1861-12-19.xml"
"orgName","","","","Senate","","1861-12-19.xml"
"orgName","","","","House","","1861-12-19.xml"
"objectName","","","nature","horseback","","1861-12-19.xml"
"orgName","","","","the 7th","","1861-12-19.xml"
"orgName","","","","Legislature","","1861-12-19.xml"
"persName","Lt. Col. Robert B. Potter","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper097","real","Col. Potter","","1861-12-19.xml"
"orgName","","","","N.Y. 51st","","1861-12-19.xml"
"objectName","","","food","dinner","","1861-12-19.xml"
"persName","Thomas Bell","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper072","","Lt. Col. Bell","","1861-12-19.xml"
"persName","William H. Seward","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper028","real","Sec. Seward","","1861-12-19.xml"
"persName","Lord John Russell","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper060","","Lord John Russells","","1861-12-19.xml"
"objectName","","","vehicle","carriage","","1861-12-19.xml"
"objectName","","","nature","tobacco","","1861-12-19.xml"
"persName","George McClellan","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper036","real","George","","1861-12-19.xml"
"persName","Jacob G. Beaver","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper003","","Beaver","","1861-12-19.xml"
