element,key,ref,type,tagged_content,date,source_file
"persName","Thomas Grier","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper076","","Tom Grier","1862-03-23","1862-03-23.xml"
"persName","Charles Kline","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper150","","Chas Kline","1862-03-23","1862-03-23.xml"
"placeName","New Berne","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl059","","New Berne","1862-03-23","1862-03-23.xml"
"objectName","","","vehicle","boat","1862-03-23","1862-03-23.xml"
"objectName","","","vehicle","boat","1862-03-23","1862-03-23.xml"
"placeName","New Berne","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl059","","New Berne","1862-03-23","1862-03-23.xml"
"objectName","","","","carpet","1862-03-23","1862-03-23.xml"
"objectName","","","","bedsteads","1862-03-23","1862-03-23.xml"
"objectName","","","","rocking chair","1862-03-23","1862-03-23.xml"
"objectName","","","","tables","1862-03-23","1862-03-23.xml"
"objectName","","","","chairs","1862-03-23","1862-03-23.xml"
"objectName","","","","fire place","1862-03-23","1862-03-23.xml"
"persName","","","","Yerkes","1862-03-23","1862-03-23.xml"
"placeName","","","","Christ Church","1862-03-23","1862-03-23.xml"
"placeName","New Berne","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl059","","New Berne","1862-03-23","1862-03-23.xml"
"objectName","","","","tombstone","1862-03-23","1862-03-23.xml"
"persName","Ambrose Burnside","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper008","","Burnside","1862-03-23","1862-03-23.xml"
"objectName","","","","coffins","1862-03-23","1862-03-23.xml"
"objectName","","","equipment","coffins","1862-03-23","1862-03-23.xml"
"placeName","Gaston House","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl112","","Gaston House","1862-03-23","1862-03-23.xml"
"persName","Thomas Grier","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper076","","Tom","1862-03-23","1862-03-23.xml"
"placeName","","","","Neuse river","1862-03-23","1862-03-23.xml"
"placeName","Neuse River","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl058","","Neuse river","1862-03-23","1862-03-23.xml"
"objectName","","","equipment","Cannon balls & shell","1862-03-23","1862-03-23.xml"
"objectName","","","clothing","belts","1862-03-23","1862-03-23.xml"
"objectName","","","readable","Richmond papers","1862-03-23","1862-03-23.xml"
"placeName","New Berne","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl059","","New Berne","1862-03-23","1862-03-23.xml"
