element,key,ref,type,tagged_content,date,source_file
"objectName","","","clothing","top boots","1862-03-27","1862-03-27.xml"
"objectName","","","clothing","sky blue pant","1862-03-27","1862-03-27.xml"
"objectName","","","clothing","cloth pants","1862-03-27","1862-03-27.xml"
"objectName","","","clothing","shoes","1862-03-27","1862-03-27.xml"
"persName","Jacob G. Beaver","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper003","","Beaver","1862-03-27","1862-03-27.xml"
"placeName","Fort Ellis","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl025","","Ft Ellis","1862-03-27","1862-03-27.xml"
"placeName","Fort Lane","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl028","","Ft Lane","1862-03-27","1862-03-27.xml"
"objectName","","","equipment","guns","1862-03-27","1862-03-27.xml"
"placeName","Fort Ellis","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl025","","Fort Ellis","1862-03-27","1862-03-27.xml"
"objectName","","","equipment","shell","1862-03-27","1862-03-27.xml"
"objectName","","","equipment","canister","1862-03-27","1862-03-27.xml"
"placeName","Fort Dixie","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl114","","Dixie","1862-03-27","1862-03-27.xml"
"objectName","","","nature","logs","1862-03-27","1862-03-27.xml"
"objectName","","","equipment","planks","1862-03-27","1862-03-27.xml"
"objectName","","","equipment","barrels","1862-03-27","1862-03-27.xml"
"objectName","","","equipment","guns","1862-03-27","1862-03-27.xml"
"objectName","","","equipment","guns","1862-03-27","1862-03-27.xml"
"placeName","Fort Thompson","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl113","","Ft Thompson","1862-03-27","1862-03-27.xml"
"placeName","Slocum Creek","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl079","","Slocum creek","1862-03-27","1862-03-27.xml"
"objectName","","","food","fritters, bread, omelette, ham, fried potatoes","1862-03-27","1862-03-27.xml"
"placeName","","","","Gen Reno's","1862-03-27","1862-03-27.xml"
"persName","John Hartz","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper146","","Hartz","1862-03-27","1862-03-27.xml"
"persName","James Dougherty","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper147","","Dougherty","1862-03-27","1862-03-27.xml"
"persName","Capt. Taylor","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper148","","Captain Taylor","1862-03-27","1862-03-27.xml"
