element,key,ref,type,tagged_content,date,source_file
"name","","","weather","finest day we have had yet,","1862-03-09","1862-03-09.xml"
"name","","","weather","stormy preceding ones","1862-03-09","1862-03-09.xml"
"name","","","weather","air deliciously pure, the sun bright & warm","1862-03-09","1862-03-09.xml"
"placeName","on deck","","","on deck","1862-03-09","1862-03-09.xml"
"persName","Albion G Knode","","","Knode","1862-03-09","1862-03-09.xml"
"persName","Adam Henry","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper010","","Adam Henry","1862-03-09","1862-03-09.xml"
"objectName","","","readable","reading","1862-03-09","1862-03-09.xml"
"persName","Jacob G. Beaver","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper003","","Lt. Beaver","1862-03-09","1862-03-09.xml"
"persName","James A. Kelley","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper045","","Kelly","1862-03-09","1862-03-09.xml"
"objectName","","","vehicle","vessels","1862-03-09","1862-03-09.xml"
"placeName","Pamlico Sound","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl065","Water","Sound","1862-03-09","1862-03-09.xml"
"objectName","","","readable","report","1862-03-09","1862-03-09.xml"
"orgName","","","","our Regiment","1862-03-09","1862-03-09.xml"
"persName","William Lynch","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper084","real","Lt Lynch","1862-03-09","1862-03-09.xml"
"persName","Buskin","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper108","","Buskin","1862-03-09","1862-03-09.xml"
"persName","Capt. Perkin","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper127","","Cap. Perkin","1862-03-09","1862-03-09.xml"
"persName","","","","The Col.","1862-03-09","1862-03-09.xml"
"placeName","Annapolis, MD","","","Annapolis","1862-03-09","1862-03-09.xml"
"persName","Dr. Church","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper112","","Dr. Church","1862-03-09","1862-03-09.xml"
"orgName","","","","Regiment","1862-03-09","1862-03-09.xml"
"persName","Jesse Reno","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper086","real","Gen. Reno","1862-03-09","1862-03-09.xml"
"persName","Jesse Reno","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper086","","Gen Reno","1862-03-09","1862-03-09.xml"
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","real","Morris","1862-03-09","1862-03-09.xml"
"placeName","New Berne","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl059","City","Newbern","1862-03-09","1862-03-09.xml"
"objectName","","","vehicle","vessels","1862-03-09","1862-03-09.xml"
"placeName","Hatteras Inlet","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl045","Inlet","Hatteras","1862-03-09","1862-03-09.xml"
"objectName","","","readable","papers","1862-03-09","1862-03-09.xml"
"objectName","","","readable","letters","1862-03-09","1862-03-09.xml"
"persName","Jesse Reno","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper086","","Reno","1862-03-09","1862-03-09.xml"
"objectName","","","vehicle","schooners","1862-03-09","1862-03-09.xml"
