element,key,ref,type,tagged_content,date,source_file
"persName","Dick Coulter","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper025","","Dick’s quarters","","1861-12-03.xml"
"objectName","","","equipment","sheet iron cook stove","","1861-12-03.xml"
"objectName","","","equpiment","tent","","1861-12-03.xml"
"persName","William Cameron","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper083","","Will Cameron","","1861-12-03.xml"
element,key,ref,type,tagged_content,date,source_file
"persName","Jeremiah Miller","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper048","","Jerry Miller","","1861-12-04.xml"
"persName","George Shorkley","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper002","","Shorkly","","1861-12-04.xml"
"placeName","","","","Legislature","","1861-12-04.xml"
"objectName","","","equipment","Speaker","","1861-12-04.xml"
element,key,ref,type,tagged_content,date,source_file
"objectName","","","equipment","pole","1862-01-05","1861-12-05.xml"
"placeName","","","","Col's quarters","1862-01-05","1861-12-05.xml"
element,key,ref,type,tagged_content,date,source_file
"name","","","weather","We were out bright & early this morning & just at sunrise there raised the","","1861-12-06.xml"
"objectName","","","","flag","","1861-12-06.xml"
"orgName","","","","band","","1861-12-06.xml"
"persName","Frank Porter","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper032","","Frank Porter","","1861-12-06.xml"
"persName","Lt. Abraham Hart","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper182","","Lt Hart","","1861-12-06.xml"
"orgName","","","","2nd Phil","","1861-12-06.xml"
element,key,ref,type,tagged_content,date,source_file
"name","","","weather","A bright, fine day again.","","1861-12-07.xml"
"placeName","","","","camp","","1861-12-07.xml"
"placeName","","","","camp","","1861-12-07.xml"
"persName","Thomas Holliday Hicks","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper077","","Gov. Hicks","","1861-12-07.xml"
"persName","Andrew Curtin","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmpler014","","Gov. Curtin.","","1861-12-07.xml"
"persName","","","","daughter","","1861-12-07.xml"
"persName","","","","man","","1861-12-07.xml"
element,key,ref,type,tagged_content,date,source_file
"persName","","","","brother","","1861-12-08.xml"
"objectName","","","other","white plate","","1861-12-08.xml"
"persName","","","","Dick r","","1861-12-08.xml"
"objectName","","","","white tablecloth","","1861-12-08.xml"
"objectName","","","food","turkey","","1861-12-08.xml"
"objectName","","","food","cranberry sauce","","1861-12-08.xml"
"objectName","","","food","beefsteak","","1861-12-08.xml"
"objectName","","","food","tomatoes","","1861-12-08.xml"
"objectName","","","food","pickles","","1861-12-08.xml"
"objectName","","","food","pound cake","","1861-12-08.xml"
"objectName","","","food","apples","","1861-12-08.xml"
"persName","Thomas Bell","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper072","","Col. Bell","","1861-12-08.xml"
"objectName","","","food","water,","","1861-12-08.xml"
"persName","","","","Dick","","1861-12-08.xml"
element,key,ref,type,tagged_content,date,source_file
"persName","","","","fellow","","1861-12-10.xml"
"persName","","","","sergt","","1861-12-10.xml"
"name","","","weather","Today was very fine as to weather","","1861-12-10.xml"
"persName","Peter Koser","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper067","","Koser","","1861-12-10.xml"
"persName","Jacob Nyhart","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper042","","Neyhart","","1861-12-10.xml"
"persName","","","","","","1861-12-10.xml"
"persName","","","","Jeremiah Miller's brother","","1861-12-10.xml"
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","","John Morris","","1861-12-10.xml"
"name","","","weather","south wind is blowing","","1861-12-10.xml"
"name","","","weather","rain","","1861-12-10.xml"
"name","","","weather","We have enjoyed a week of glorious weather.","","1861-12-10.xml"
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","","John Morris","","1861-12-10.xml"
"objectName","","","food","tea","","1861-12-10.xml"
"objectName","","","equipment","candle","","1861-12-10.xml"
"persName","Thomas Grier","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper076","","Tom Grier","","1861-12-10.xml"
element,key,ref,type,tagged_content,date,source_file
"name","","","weather","The morning was dark and lowering,","","1861-12-11.xml"
"name","","","weather","wind and rain.","","1861-12-11.xml"
"name","","","weather","windy,","","1861-12-11.xml"
"persName","Joseph Antoine Viguier De Monteil","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper061","","Lt Col Vignier de Monteil","","1861-12-11.xml"
"orgName","","","","New York 53rd","","1861-12-11.xml"
"orgName","","","","D'Epineuil Zouaves","","1861-12-11.xml"
"persName","Lionel Jobert D'Epineuil","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper064","","Colonel D'Epineuil","","1861-12-11.xml"
"persName","Capt. W.W. Armstrong","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper183","","Cap W.W. Armstrong","","1861-12-11.xml"
"persName","Lionel Jobert D'Epineuil","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper064","","Col D'Epineuil","","1861-12-11.xml"
"persName","","","","D'Epineuil","","1861-12-11.xml"
"objectName","","","equpiment","table","","1861-12-11.xml"
"orgName","","","","Zouaves","","1861-12-11.xml"
"objectName","","","clothing","blue jacket trimmed with yellow","","1861-12-11.xml"
"objectName","","","clothing","blue scarf","","1861-12-11.xml"
"objectName","","","equipment","kyblue pants","","1861-12-11.xml"
"persName","Thomas Grier","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper076","","Tom Grier","","1861-12-11.xml"
"placeName","Annapolis, MD","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl002","","Camp Union near Annapolist Md.","","1861-12-11.xml"
"objectName","","","equipment","white leggings.","","1861-12-11.xml"
"persName","","","","Tom","","1861-12-11.xml"
"persName","Lionel Jobert D'Epineuil","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper064","","D'Epineul","","1861-12-11.xml"
"persName","","","","wife","","1861-12-11.xml"
"objectName","","","Clothing","Zouave costume","","1861-12-11.xml"
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","","Lt. Morris","","1861-12-11.xml"
"persName","","","","Colonel","","1861-12-11.xml"
"persName","","","","butler","","1861-12-11.xml"
"objectName","","","other","tobacco","","1861-12-11.xml"
"persName","Jacob G. Beaver","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper003","","Beaver","","1861-12-11.xml"
element,key,ref,type,tagged_content,date,source_file
"name","","","weather","This was a bright fine day though cold.","","1861-12-12.xml"
"objectName","","","","uniform","","1861-12-12.xml"
"placeName","Navy Yard","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl057","","Navy Yard","","1861-12-12.xml"
"persName","Lionel Jobert D'Epineuil","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper064","","Lionel jobert d'Epineuil","","1861-12-12.xml"
"persName","Joseph Antoine Viguier De Monteil","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper061","","Lt. Col. A.J. Vigeur de' Monteil","","1861-12-12.xml"
"persName","Col. Alberto Maggi","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper163","","Lt. Col. Maggi","","1861-12-12.xml"
"persName","(Capt.) Cipriano Ferrandini","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper184","","Captain Cipriani","","1861-12-12.xml"
"persName","","","","Captain [blank]","","1861-12-12.xml"
"persName","William Cameron","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper083","",",Major Cameron","","1861-12-12.xml"
"persName","Capt. Willard","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper185","","Capt. Willard","","1861-12-12.xml"
"persName","Lt. Merriam","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper186","","Lt.Merriam","","1861-12-12.xml"
"persName","Capt. W.W. Armstrong","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper183","","Capt. W.W. Armstrong","","1861-12-12.xml"
"persName","Thomas Bell","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper072","","Lt Cols Bell","","1861-12-12.xml"
"orgName","","","","51st Penn","","1861-12-12.xml"
"persName","Lt. Col. Robert B. Potter","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper097","","Lt. Col. Potter","","1861-12-12.xml"
"orgName","","","","37st N.Y.","","1861-12-12.xml"
"persName","Col. Martin","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper168","","Lt. Col. Martin","","1861-12-12.xml"
"orgName","","","","11th Penn","","1861-12-12.xml"
"persName","Col. Alberto Maggi","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper163","","Maggi","","1861-12-12.xml"
"persName","Joseph Antoine Viguier De Monteil","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper061","","Lt. Col. Monteil","","1861-12-12.xml"
"persName","Maj. Legendre","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper121","","Lt. Col. Legendre","","1861-12-12.xml"
"persName","Lionel Jobert D'Epineuil","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper064","","Col D'Epineuil","","1861-12-12.xml"
"objectName","","","drink","tea","","1861-12-12.xml"
"persName","Mr. Welsh","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper187","","Mr Welsh","","1861-12-12.xml"
"persName","","","","major","","1861-12-12.xml"
"persName","(Capt.) Cipriano Ferrandini","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper184","","Capt Cipriani","","1861-12-12.xml"
"persName","Capt. Griffin","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper188","","Capt Griffin","","1861-12-12.xml"
"persName","(Capt.) Cipriano Ferrandini","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper184","","Capt Cipriani","","1861-12-12.xml"
"persName","","","","Col's wife","","1861-12-12.xml"
"persName","Thomas Grier","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper076","","Tom","","1861-12-12.xml"
"persName","","","","Col's wife","","1861-12-12.xml"
"objectName","","","clothing","Zouave uniform","","1861-12-12.xml"
"objectName","","","other","little box","","1861-12-12.xml"
"objectName","","","other","fancy box","","1861-12-12.xml"
"objectName","","","food","birds eggs = lozenges","","1861-12-12.xml"
"persName","","","","clumsy man","","1861-12-12.xml"
"persName","Capt. O'Malley","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper189","","Capt O'Malley","","1861-12-12.xml"
element,key,ref,type,tagged_content,date,source_file
"placeName","","","","Camp Union, Near Annapolis","","1861-12-13.xml"
"name","","","weather","This was a bright fine day, clear but cold.","","1861-12-13.xml"
"persName","","","","Capt. Gilmore","","1861-12-13.xml"
"persName","","","","Maj. Cantel.","","1861-12-13.xml"
"persName","","","","Maggi","","1861-12-13.xml"
"persName","","","","Maj. Legendre","","1861-12-13.xml"
"persName","","","","Maj. Cantel","","1861-12-13.xml"
"persName","","","","Maggi","","1861-12-13.xml"
"persName","","","","Lt. Col.","","1861-12-13.xml"
"persName","","","","Ge Foster","","1861-12-13.xml"
"orgName","","","","8th Connecticut","","1861-12-13.xml"
"orgName","","","","51st New York","","1861-12-13.xml"
"orgName","","","","51st Pennsylvania","","1861-12-13.xml"
"orgName","","","","53rd New York","","1861-12-13.xml"
"orgName","","","","D'Epineuil Zoauves","","1861-12-13.xml"
"placeName","","","","New York","","1861-12-13.xml"
"orgName","","","","57th Pennsylvania","","1861-12-13.xml"
"orgName","","","","D'Epineuil Zoauves","","1861-12-13.xml"
"objectName","","","clothing","bear skin hat","","1861-12-13.xml"
"persName","","","","officer","","1861-12-13.xml"
"orgName","","","","4th Connecticut","","1861-12-13.xml"
"persName","","","","by Capt. Fowler's","","1861-12-13.xml"
"orgName","","","","8th Connecticut","","1861-12-13.xml"
"persName","","","","officer","","1861-12-13.xml"
"persName","","","","Gen Burnside","","1861-12-13.xml"
"orgName","","","","10th Connecticut","","1861-12-13.xml"
"orgName","","","","22nd","","1861-12-13.xml"
"orgName","","","","23rd","","1861-12-13.xml"
"orgName","","","","27th Mass","","1861-12-13.xml"
"orgName","","","","twenty fourth Mass","","1861-12-13.xml"
"placeName","","","","Navy Yard","","1861-12-13.xml"
element,key,ref,type,tagged_content,date,source_file
"orgName","","","","21st","","1861-12-14.xml"
"orgName","","","","22","","1861-12-14.xml"
"orgName","","","","23","","1861-12-14.xml"
"orgName","","","","24","","1861-12-14.xml"
"orgName","","","","27 Mass","","1861-12-14.xml"
"orgName","","","","7th N.Y.","","1861-12-14.xml"
"orgName","","","","61st","","1861-12-14.xml"
"orgName","","","","11th Penn","","1861-12-14.xml"
"orgName","","","","Connecticut 33","","1861-12-14.xml"
"placeName","","","","NY","","1861-12-14.xml"
"persName","","","","D'Epineuil","","1861-12-14.xml"
"placeName","","","","Camp Union, Near Annapolis Md","","1861-12-14.xml"
"orgName","","","","Regiment","","1861-12-14.xml"
element,key,ref,type,tagged_content,date,source_file
"name","","","weather","bright day","","1861-12-15.xml"
"orgName","","","","Company","","1861-12-15.xml"
"orgName","","","","regimental","","1861-12-15.xml"
"objectName","","","","knapsacks","","1861-12-15.xml"
"objectName","","","equipment","knapsacks","","1861-12-15.xml"
