element,key,ref,type,tagged_content,date,source_file
"persName","Tom Grier","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Tom Grier","","1861-12-27.xml"
"persName","Lt. Beaver","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Lt. Beaver","","1861-12-27.xml"
"persName","Charley Schaffley,","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Charley Schaffley,","","1861-12-27.xml"
"persName","captain Thoms","","","Capt Thoms","","1861-12-27.xml"
"orgName","","","","Chamberlain, 5th Reg Reserve","","1861-12-27.xml"
"placeName","Washington, D.C.","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl091","","Washington","","1861-12-27.xml"
"persName","Bill Schaffley","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Bill Schaffley","","1861-12-27.xml"
"persName","Frank Beale","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Frank Beale","","1861-12-27.xml"
"placeName","Washington, D.C.","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl091","","Washington","","1861-12-27.xml"
"name","","","weather","weather was cold and windy","","1861-12-27.xml"
