element,key,ref,type,tagged_content,date,source_file
"name","","","weather","warm","1862-06-21","1862-06-21.xml"
"name","","","weather","pleasant","1862-06-21","1862-06-21.xml"
"persName","Lt Col Joshua K Sigfried","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper172","","Lt Col Joshua K Sigfried","1862-06-21","1862-06-21.xml"
"orgName","","","military","48 P","1862-06-21","1862-06-21.xml"
"objectName","","","readible","affidavit","1862-06-21","1862-06-21.xml"
"persName","Jacob Bachenheimer","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper173","","Bachenheimer","1862-06-21","1862-06-21.xml"
"placeName","Scranton, PA","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl106","city","Scranton","1862-06-21","1862-06-21.xml"
"objectName","","","readible","paper","1862-06-21","1862-06-21.xml"
"objectName","","","readible","correspondence","1862-06-21","1862-06-21.xml"
"objectName","","","equipment","tent","1862-06-21","1862-06-21.xml"
"persName","Jacob Bachenheimer","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper173","","Bachenheimer","1862-06-21","1862-06-21.xml"
"objectName","","","equipment","sword","1862-06-21","1862-06-21.xml"
"persName","Ambrose Burnside","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper008","","Gen Burnside","1862-06-21","1862-06-21.xml"
"persName","Ambrose Burnside","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper008","","Gen Burnside","1862-06-21","1862-06-21.xml"
"persName","Ambrose Burnside","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper008","","Gen Burnside","1862-06-21","1862-06-21.xml"
"persName","Arnold","","private","George Arnold","1862-06-21","1862-06-21.xml"
"objectName","","","nature","calfs","1862-06-21","1862-06-21.xml"
"placeName","Norristown","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl107","city","Norristown","1862-06-21","1862-06-21.xml"
"persName","Arnold","","private","George","1862-06-21","1862-06-21.xml"
"persName","Arnold","","private","George","1862-06-21","1862-06-21.xml"
"persName","Arnold","","private","George","1862-06-21","1862-06-21.xml"
"objectName","","","nature","tail","1862-06-21","1862-06-21.xml"
"persName","Arnold","","private","George","1862-06-21","1862-06-21.xml"
"objectName","","","nature","tail","1862-06-21","1862-06-21.xml"
"persName","Arnold","","private","George","1862-06-21","1862-06-21.xml"
