element,key,ref,type,tagged_content,date,source_file
"name","","","weather","pleasant","1862-06-11","1862-06-11.xml"
"persName","Aaron Smith","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper006","","Smith","1862-06-11","1862-06-11.xml"
"persName","H. Co'y McCormick","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper153","","McCormick","1862-06-11","1862-06-11.xml"
"persName","Peter Koser","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper067","","Cozer","1862-06-11","1862-06-11.xml"
"persName","Thomas Grier","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper076","","Tom Grier","1862-06-11","1862-06-11.xml"
"objectName","","","readible","paper","1862-06-11","1862-06-11.xml"
"orgName","","","military","the Union","1862-06-11","1862-06-11.xml"
"placeName","","","camp","camp","1862-06-11","1862-06-11.xml"
"objectName","","","clothing","dress","1862-06-11","1862-06-11.xml"
"persName","Dr. Cutter","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper124","","Dr Cutter","1862-06-11","1862-06-11.xml"
"objectName","","","equipment","rations","1862-06-11","1862-06-11.xml"
"placeName","Beaufort","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl005","city","Beaufort","1862-06-11","1862-06-11.xml"
"persName","Gen. Jesse Reno","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper086","","Gen. Reno","1862-06-11","1862-06-11.xml"
