element,key,ref,type,tagged_content,date,source_file
"placeName","James River","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl100","","James River","","1862-01-08.xml"
"objectName","","","vehicle","ships","","1862-01-08.xml"
"objectName","","","vehicle","boat","","1862-01-08.xml"
"objectName","","","vehicle","boat","","1862-01-08.xml"
"objectName","","","Equipment","steamer,","","1862-01-08.xml"
"objectName","","","vehicle","boat","","1862-01-08.xml"
"objectName","","","Equipment","vessel","","1862-01-08.xml"
"objectName","","","","Eastern City,","","1862-01-08.xml"
"orgName","","","","Cossack.","","1862-01-08.xml"
"objectName","","","vehicle","ships","","1862-01-08.xml"
"objectName","","","Equipment","steamers","","1862-01-08.xml"
"name","","","Sunny","bright","","1862-01-08.xml"
"name","","","","bright","","1862-01-08.xml"
"name","","","Windy","wind","","1862-01-08.xml"
"name","","","Sunny","brisk","","1862-01-08.xml"
"objectName","","","","flag","","1862-01-08.xml"
"objectName","","","","flag","","1862-01-08.xml"
"objectName","","","","deck","","1862-01-08.xml"
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","real","Lt Morris","","1862-01-08.xml"
"objectName","","","","Cossack","","1862-01-08.xml"
"persName","John Hartranft","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper056","","Col Hartranft","","1862-01-08.xml"
"objectName","","","Equipment","rockets","","1862-01-08.xml"
"objectName","","","Equipment","gun","","1862-01-08.xml"
"objectName","","","Equipment","guns","","1862-01-08.xml"
"objectName","","","Readable","letter","","1862-01-08.xml"
"persName","Annie Catherine Linn","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper015","real","Annie","","1862-01-08.xml"
"persName","John Blair Linn","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper051","real","John","","1862-01-08.xml"
"persName","","","","George","","1862-01-08.xml"
"objectName","","","Equipment","pistol","","1862-01-08.xml"
"objectName","","","clothing","shoes","","1862-01-08.xml"
"placeName","Philadelphia","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl069","","Philadelphia.","","1862-01-08.xml"
"objectName","","","equipment","glass","","1862-01-08.xml"
"objectName","","","Equipment","toys.","","1862-01-08.xml"
"orgName","","","","Officers","","1862-01-08.xml"
"persName","Linn John Blair","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper007","real","Lt Blair.","","1862-01-08.xml"
"objectName","","","clothing","shirt","","1862-01-08.xml"
"persName","Linn John Blair","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper007","","Blair","","1862-01-08.xml"
"persName","","","","Lloyds","","1862-01-08.xml"
"objectName","","","readable","map","","1862-01-08.xml"
"objectName","","","vehicle","ship","","1862-01-08.xml"
"objectName","","","","Cossack","","1862-01-08.xml"
"placeName","Apalachicola","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl101","","Apalachicola","","1862-01-08.xml"
"placeName","Florida","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl102","","Railroad at Talahassee","","1862-01-08.xml"
"persName","Thomas Bell","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper072","real","Lt Col Bell","","1862-01-08.xml"
"placeName","Florida","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl102","","Cedar Keys - Florida","","1862-01-08.xml"
"placeName","Florida","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl102","","Florida","","1862-01-08.xml"
