element,key,ref,type,tagged_content,date,source_file
"objectName","","","equipment","hand-cart","","1862-03-29.xml"
"objectName","","","equipment","tents","","1862-03-29.xml"
"objectName","","","equipment","wall-tents","","1862-03-29.xml"
"persName","Dick Coulter","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper025","","Dick","","1862-03-29.xml"
"placeName","Annapolis, MD","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl002","","Annapolis","","1862-03-29.xml"
