element,key,ref,type,tagged_content,date,source_file
"name","","","weather","cold and rainy","1862-01-16","1862-01-16.xml"
"persName","James Conoway","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper046","real","James Conoway","1862-01-16","1862-01-16.xml"
"objectName","","","vehicle","surf boat","1862-01-16","1862-01-16.xml"
"objectName","","","nature","sand beach","1862-01-16","1862-01-16.xml"
"name","","","weather","wind","1862-01-16","1862-01-16.xml"
"objectName","","","vehicle","boat","1862-01-16","1862-01-16.xml"
"objectName","","","vehicle","steam tug","1862-01-16","1862-01-16.xml"
"name","","","weather","stormy","1862-01-16","1862-01-16.xml"
"objectName","","","equipment","barrels","1862-01-16","1862-01-16.xml"
"objectName","","","equipment","beds","1862-01-16","1862-01-16.xml"
"persName","James Gibson","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper047","","Dr Gibson Chaplain","1862-01-16","1862-01-16.xml"
"persName","Gregg","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper144","","Gregg","1862-01-16","1862-01-16.xml"
"name","","","weather","storm","1862-01-16","1862-01-16.xml"
"placeName","Baltimore","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl003","","Baltimore","1862-01-16","1862-01-16.xml"
"objectName","","","vehicle","schooner","1862-01-16","1862-01-16.xml"
"name","","","weather","storm","1862-01-16","1862-01-16.xml"
"placeName","Port Royal","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl072","","Port Royal.","1862-01-16","1862-01-16.xml"
"objectName","","","readable","army regulations","1862-01-16","1862-01-16.xml"
"objectName","","","food","fried pork","1862-01-16","1862-01-16.xml"
"objectName","","","food","boiled potatoes","1862-01-16","1862-01-16.xml"
"objectName","","","food","hard bread","1862-01-16","1862-01-16.xml"
"objectName","","","drink","coffee","1862-01-16","1862-01-16.xml"
"objectName","","","food","boiled potatoes","1862-01-16","1862-01-16.xml"
"objectName","","","food","soup","1862-01-16","1862-01-16.xml"
"objectName","","","food","fried pork","1862-01-16","1862-01-16.xml"
"objectName","","","food","boiled rice","1862-01-16","1862-01-16.xml"
"objectName","","","drink","tea","1862-01-16","1862-01-16.xml"
"objectName","","","food","molasses","1862-01-16","1862-01-16.xml"
"placeName","Roanoke Island","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl076","","Roanoke Island","1862-01-16","1862-01-16.xml"
