element,key,ref,type,tagged_content,date,source_file
"placeName","Camp Union","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnp0l11","","Camp Union","","1861-12-22.xml"
"placeName","Annapolis, MD","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl002","","Annapolis Md","","1861-12-22.xml"
"name","","","weather","Another fine day, though cold","","1861-12-22.xml"
"objectName","","","equipment","arms","","1861-12-22.xml"
"objectName","","","equipment","accoutrements","","1861-12-22.xml"
"persName","Charles Mallory","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper019","real","Rev Mallory","","1861-12-22.xml"
"objectName","","","food","dinner","","1861-12-22.xml"
"persName","Jacob G. Beaver","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper003","","Beaver","","1861-12-22.xml"
"persName","Thomas Grier","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper076","real","Tom Grier","","1861-12-22.xml"
"objectName","","","nature","ever greenes","","1861-12-22.xml"
"orgName","","","","yankees","","1861-12-22.xml"
"orgName","","","","10th Connecticut","","1861-12-22.xml"
"objectName","","","nature","pine","","1861-12-22.xml"
"orgName","","","","N. York 31st","","1861-12-22.xml"
"objectName","","","nature","pine","","1861-12-22.xml"
"objectName","","","equipment","flags","","1861-12-22.xml"
"objectName","","","","devices","","1861-12-22.xml"
"objectName","","","vehicle","vessels","","1861-12-22.xml"
"objectName","","","vehicle","transports","","1861-12-22.xml"
"objectName","","","vehicle","side wheel steamers","","1861-12-22.xml"
"orgName","","","","New Hampshire","","1861-12-22.xml"
"orgName","","","","New York","","1861-12-22.xml"
"objectName","","","equipment","artillary","","1861-12-22.xml"
"objectName","","","vehicle","train","","1861-12-22.xml"
"orgName","","","","7th Rhode Island Battery","","1861-12-22.xml"
"persName","Jacob G. Beaver","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper003","","Beaver","","1861-12-22.xml"
"persName","Thomas Grier","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper076","real","Tom","","1861-12-22.xml"
"orgName","","","","Episcopal church","","1861-12-22.xml"
"objectName","","","equipment","tombstones","","1861-12-22.xml"
"objectName","","","equipment","tombs","","1861-12-22.xml"
"objectName","","","nature","marble","","1861-12-22.xml"
"persName","","","","Margaret Carroll","","1861-12-22.xml"
"persName","","","","Charles Carroll","","1861-12-22.xml"
"persName","","","","Matthew Tilghman","","1861-12-22.xml"
"persName","","","","Rebecca","","1861-12-22.xml"
"persName","","","","Daniel Pulaney","","1861-12-22.xml"
"persName","","","","Col. Walter Smith","","1861-12-22.xml"
"objectName","","","equipment","iron railing","","1861-12-22.xml"
"persName","","","","William Bladen","","1861-12-22.xml"
"persName","","","","Benjamin Tasker Jun.","","1861-12-22.xml"
"placeName","Maryland","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl052","","Maryland","","1861-12-22.xml"
"persName","","","","Benjamin Tasker","","1861-12-22.xml"
"orgName","","","","Receiver Genera","","1861-12-22.xml"
"orgName","","","","Judge of the prerogative court","","1861-12-22.xml"
"objectName","","","food","chickens","","1861-12-22.xml"
"objectName","","","nature","branches","","1861-12-22.xml"
"objectName","","","nature","tree","","1861-12-22.xml"
"name","","","weather","begun to rain","","1861-12-22.xml"
