element,key,ref,type,tagged_content,date,source_file
"objectName","","","equipment","Enfields","","1862-03-06.xml"
"persName","","","","Lt. Selden","","1862-03-06.xml"
"objectName","","","clothing","boots","","1862-03-06.xml"
"objectName","","","clothing","top boots","","1862-03-06.xml"
"objectName","","","clothing","shoes","","1862-03-06.xml"
"persName","Gen. Nathanial Banks","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper094","","Banks","","1862-03-06.xml"
"persName","","","","Sgt","","1862-03-06.xml"
"objectName","","","readable","report","","1862-03-06.xml"
"objectName","","","readables","papers","","1862-03-06.xml"
"objectName","","","vehicle","Spaulding","","1862-03-06.xml"
"objectName","","","vehicle","ships","","1862-03-06.xml"
"objectName","","","vehicle","vessels","","1862-03-06.xml"
"objectName","","","vehicle","Spaulding","","1862-03-06.xml"
"placeName","Savannah","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl078","","Savannah","","1862-03-06.xml"
"placeName","Nashville","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl056","","Nashville","","1862-03-06.xml"
"persName","Jacob G. Beaver","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper003","","Lt Beaver","","1862-03-06.xml"
