element,key,ref,type,tagged_content,date,source_file
"objectName","","","Equipment","stern","","1862-01-09.xml"
"objectName","","","vehicle","ship","","1862-01-09.xml"
"objectName","","","","window","","1862-01-09.xml"
"persName","George Shorkley","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper002","real","Shorkly’s","","1862-01-09.xml"
"objectName","","","","window","","1862-01-09.xml"
"objectName","","","vehicle","boats","","1862-01-09.xml"
"placeName","Maryland","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl052","","Perrysville to Annapolis","","1862-01-09.xml"
"persName","","","","Cumberland","","1862-01-09.xml"
"objectName","","","equipment","stern","","1862-01-09.xml"
"objectName","","","Equipment","rockets","","1862-01-09.xml"
"objectName","","","Equipment","gun","","1862-01-09.xml"
"objectName","","","Equipment","guns","","1862-01-09.xml"
"objectName","","","vehicle","ships","","1862-01-09.xml"
"persName","Ambrose Burnside","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper008","","Gen. Burnside","","1862-01-09.xml"
"objectName","","","vehicle","boat","","1862-01-09.xml"
"objectName","","","clothing","hat","","1862-01-09.xml"
"objectName","","","clothing"," coat","","1862-01-09.xml"
"objectName","","","clothing","hats","","1862-01-09.xml"
"objectName","","","vehicle","ship","","1862-01-09.xml"
"objectName","","","Equipment","vessel","","1862-01-09.xml"
"persName","Lt. Col. Potter","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper097","real","Lt. Col. Potter","","1862-01-09.xml"
"placeName","","","","England","","1862-01-09.xml"
"objectName","","","Equipment","vessels","","1862-01-09.xml"
"placeName","Patuxet River","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl103","","Cove Point, Drum Point, and the mouth of the Patuxet River","","1862-01-09.xml"
"persName","Henry Bentley","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper098","","Bentley","","1862-01-09.xml"
"placeName","Philadelphia","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl069","","Philadelphia Enquirer,","","1862-01-09.xml"
"persName","","","","McDonald,","","1862-01-09.xml"
"persName","Capt. Bennet","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper091","real","Captain Bennet,","","1862-01-09.xml"
"orgName","","","","Captain","","1862-01-09.xml"
"objectName","","","Equipment","ship","","1862-01-09.xml"
"objectName","","","Equipment","ship.","","1862-01-09.xml"
"persName","Capt. Bennet","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper091","","Bennet","","1862-01-09.xml"
"placeName","Minot Ledge Lighthouse","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl104","","Minot Ledge Lighthouse","","1862-01-09.xml"
"objectName","","","Readable","charts","","1862-01-09.xml"
"objectName","","","readable","drawings","","1862-01-09.xml"
"persName","","","","Mayor Wood","","1862-01-09.xml"
"placeName","New York","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl061","","New York","","1862-01-09.xml"
"persName","","","","Welles and Burnside","","1862-01-09.xml"
"persName","Ambrose Burnside","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper008","real","Burnside","","1862-01-09.xml"
"objectName","","","Equipment","cartridges","","1862-01-09.xml"
"persName","Ambrose Burnside","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper008","","Burnside","","1862-01-09.xml"
"name","","","Cloudy","streaks","","1862-01-09.xml"
"name","","","","sky.","","1862-01-09.xml"
