element,key,ref,type,tagged_content,date,source_file
"name","","","weather","day was very warm","1862-05-30","1862-05-30.xml"
"objectName","","","equipment","tents","1862-05-30","1862-05-30.xml"
"objectName","","","equipment","wagon","1862-05-30","1862-05-30.xml"
"persName","","","Military","wagon master","1862-05-30","1862-05-30.xml"
"objectName","","","readable","orders","1862-05-30","1862-05-30.xml"
"persName","","","Military","Quarter master Hall","1862-05-30","1862-05-30.xml"
"placeName","Trent River","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl083","river","river","1862-05-30","1862-05-30.xml"
"placeName","Trent River","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl083","","river","1862-05-30","1862-05-30.xml"
"objectName","","","equipment","tents","1862-05-30","1862-05-30.xml"
"objectName","","","vehicle","boat","1862-05-30","1862-05-30.xml"
"persName","","","Military","Hall","1862-05-30","1862-05-30.xml"
"persName","","","Union","Quartermaster","1862-05-30","1862-05-30.xml"
"persName","","","Union","wagon-master","1862-05-30","1862-05-30.xml"
"objectName","","","vehicle","boat","1862-05-30","1862-05-30.xml"
"objectName","","","vehicle","boat","1862-05-30","1862-05-30.xml"
"persName","Jacob G. Beaver","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper003","","Beaver","1862-05-30","1862-05-30.xml"
"placeName","Trent River","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl083","Trent","Trent by the Bridge","1862-05-30","1862-05-30.xml"
"orgName","","","Vidette","Vidette","1862-05-30","1862-05-30.xml"
"placeName","","","Bank","Bank of the Trent","1862-05-30","1862-05-30.xml"
"objectName","","","nature","deep creek","1862-05-30","1862-05-30.xml"
"placeName","Trent River","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl083","river","Trent","1862-05-30","1862-05-30.xml"
"objectName","","","nature","500 yards of land","1862-05-30","1862-05-30.xml"
"objectName","","","nature","grass","1862-05-30","1862-05-30.xml"
"placeName","","","Timothy","Timothy","1862-05-30","1862-05-30.xml"
"objectName","","","nature","horseshoe","1862-05-30","1862-05-30.xml"
"objectName","","","nature","neck","1862-05-30","1862-05-30.xml"
"placeName","","","Peninsula","peninsula","1862-05-30","1862-05-30.xml"
"objectName","","","nature","acres","1862-05-30","1862-05-30.xml"
"placeName","","","","peninsula","1862-05-30","1862-05-30.xml"
"placeName","Camp Union","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnp0l11","Camp","camp","1862-05-30","1862-05-30.xml"
"objectName","","","nature","covered with grass & shaded with pines","1862-05-30","1862-05-30.xml"
"placeName","","","","banks","1862-05-30","1862-05-30.xml"
"objectName","","","nature","luxuriant foliage of pines and trees & flowers","1862-05-30","1862-05-30.xml"
"objectName","","","nature","stately cypress","1862-05-30","1862-05-30.xml"
"orgName","","","spanish","gray-beards of Spanish moss","1862-05-30","1862-05-30.xml"
"placeName","Slocum Creek","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl079","","creek","1862-05-30","1862-05-30.xml"
"objectName","","","equipment","tents","1862-05-30","1862-05-30.xml"
"objectName","","","nature","trees","1862-05-30","1862-05-30.xml"
"objectName","","","nature","grass","1862-05-30","1862-05-30.xml"
"objectName","","","vehicle","big flat","1862-05-30","1862-05-30.xml"
"objectName","","","equipment","poles","1862-05-30","1862-05-30.xml"
"objectName","","","equipment","boards","1862-05-30","1862-05-30.xml"
"placeName","","","camp","boards","1862-05-30","1862-05-30.xml"
"placeName","Camp Union","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnp0l11","","camp","1862-05-30","1862-05-30.xml"
"objectName","","","equipment","tents","1862-05-30","1862-05-30.xml"
