element,key,ref,type,tagged_content,date,source_file
"name","","","weather","rained","1862-03-11","1862-03-11.xml"
"name","","","weather","cool and bright","1862-03-11","1862-03-11.xml"
"objectName","","","vehicle","Scout","1862-03-11","1862-03-11.xml"
"objectName","","","vehicle","Smith","1862-03-11","1862-03-11.xml"
"objectName","","","vehicle","schooner","1862-03-11","1862-03-11.xml"
"objectName","","","vehicle","Cossack","1862-03-11","1862-03-11.xml"
"placeName","Pamlico Sound","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl065","Water","Pamlico sound","1862-03-11","1862-03-11.xml"
"placeName","Hatteras Inlet","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl045","Inlet","Hatteras Inlet","1862-03-11","1862-03-11.xml"
"objectName","","","vehicle","New York","1862-03-11","1862-03-11.xml"
"placeName","Croatian Sound","","Water","Croatan","1862-03-11","1862-03-11.xml"
"placeName","Roanoke Island","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl076","Water","Roanoke Sound","1862-03-11","1862-03-11.xml"
"persName","","","","Admiral","1862-03-11","1862-03-11.xml"
"objectName","","","vehicle","Cossack","1862-03-11","1862-03-11.xml"
"objectName","","","vehicle","gunboats","1862-03-11","1862-03-11.xml"
"objectName","","","vehicle","Hussar","1862-03-11","1862-03-11.xml"
"objectName","","","vehicle","gunboats","1862-03-11","1862-03-11.xml"
"objectName","","","readable","Lossings pictorial field book","1862-03-11","1862-03-11.xml"
"placeName","North Carolina","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl063","","North Carolina","1862-03-11","1862-03-11.xml"
"placeName","North Carolina","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl063","","North Carolina","1862-03-11","1862-03-11.xml"
"orgName","","","","Federal Congress","1862-03-11","1862-03-11.xml"
"persName","Capt. Picot","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper104","","Capt Picot","1862-03-11","1862-03-11.xml"
"placeName","","","District","[Michdenburg?] District","1862-03-11","1862-03-11.xml"
"objectName","","","vehicle","tug boat","1862-03-11","1862-03-11.xml"
"objectName","","","readable","mail","1862-03-11","1862-03-11.xml"
"objectName","","","readable","newspaper news","1862-03-11","1862-03-11.xml"
