element,key,ref,type,tagged_content,date,source_file
"name","","","weather","Rained, fizzled","","1862-02-16.xml"
"persName","Rodumel","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper111","real","Rodumel","","1862-02-16.xml"
"persName","Dick Coulter","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper025","","Dick","","1862-02-16.xml"
"objectName","","","","tea","","1862-02-16.xml"
"objectName","","","","coffee","","1862-02-16.xml"
"objectName","","","","biscuit","","1862-02-16.xml"
"objectName","","","","butter and canned tomatoes","","1862-02-16.xml"
"objectName","","","boat","Cossack","","1862-02-16.xml"
"orgName","","","","New York 51st","","1862-02-16.xml"
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","real","Morris","","1862-02-16.xml"
"placeName","Bull Run","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl007","","Bull Run","","1862-02-16.xml"
"orgName","","","Regiment","Louisianans","","1862-02-16.xml"
"placeName","New Jersey","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl111","","New Jersey","","1862-02-16.xml"
"objectName","","","","houses","","1862-02-16.xml"
"name","","","People","North Carolinians","","1862-02-16.xml"
"objectName","","","nature","shore","","1862-02-16.xml"
"objectName","","","","clothes","","1862-02-16.xml"
