element,key,ref,type,tagged_content,date,source_file
"name","","","weather","rainy, drizzling all day","","1862-02-15.xml"
"objectName","","","nature","trenches","","1862-02-15.xml"
"objectName","","","","bridges","","1862-02-15.xml"
"objectName","","","","road","","1862-02-15.xml"
"persName","Dick Coulter","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper025","real","Dick","","1862-02-15.xml"
"objectName","","","","roast potatoes, fried beef, coffee and butter & crackers","","1862-02-15.xml"
"objectName","","","","fig trees","","1862-02-15.xml"
"objectName","","","food","horse chestnut","","1862-02-15.xml"
"objectName","","","nature","shore","","1862-02-15.xml"
