element,key,ref,type,tagged_content,date,source_file
"name","","","weather","warm","1862-06-29","1862-06-29.xml"
"name","","","weather","shower","1862-06-29","1862-06-29.xml"
"objectName","","","equipment","cartridge","1862-06-29","1862-06-29.xml"
"objectName","","","transportation","wagons","1862-06-29","1862-06-29.xml"
"objectName","","","equipment","haversacks","1862-06-29","1862-06-29.xml"
"objectName","","","transportation","wagons","1862-06-29","1862-06-29.xml"
"objectName","","","food","coffee","1862-06-29","1862-06-29.xml"
"objectName","","","food","hard bread","1862-06-29","1862-06-29.xml"
"objectName","","","food","salt","1862-06-29","1862-06-29.xml"
"objectName","","","equipment","tents","1862-06-29","1862-06-29.xml"
"objectName","","","equipment","","1862-06-29","1862-06-29.xml"
"objectName","","","transportation","schooner","1862-06-29","1862-06-29.xml"
"objectName","","","transportation","packhorse","1862-06-29","1862-06-29.xml"
"objectName","","","transportation","train","1862-06-29","1862-06-29.xml"
"objectName","","","equipment","kettles","1862-06-29","1862-06-29.xml"
"objectName","","","equipment","pans","1862-06-29","1862-06-29.xml"
"objectName","","","transportation","wagons","1862-06-29","1862-06-29.xml"
"persName","","","","McClellan","1862-06-29","1862-06-29.xml"
"persName","","","","Mr. Mallory","1862-06-29","1862-06-29.xml"
"objectName","","","equipment","tent","1862-06-29","1862-06-29.xml"
"objectName","","","nature","grass","1862-06-29","1862-06-29.xml"
"persName","","","","Isaac Beck","1862-06-29","1862-06-29.xml"
"placeName","Camden","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl008","","Camden","1862-06-29","1862-06-29.xml"
"objectName","","","equipment","bullets","1862-06-29","1862-06-29.xml"
"objectName","","","equipment","handkerchief","1862-06-29","1862-06-29.xml"
"objectName","","","body","sweat","1862-06-29","1862-06-29.xml"
"objectName","","","body","face","1862-06-29","1862-06-29.xml"
"objectName","","","equipment","cards","1862-06-29","1862-06-29.xml"
"objectName","","","equipment","cards","1862-06-29","1862-06-29.xml"
"objectName","","","clothes","jacket","1862-06-29","1862-06-29.xml"
"placeName","Roanoke Island","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl076","","Roanoke","1862-06-29","1862-06-29.xml"
"objectName","","","equipment","cards","1862-06-29","1862-06-29.xml"
"persName","William Allison","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper082","real","Billy Allison","1862-06-29","1862-06-29.xml"
"name","","","weather","hot weather","1862-06-29","1862-06-29.xml"
"persName","Capt. William H. Blair","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper179","","Capt. Blair's","1862-06-29","1862-06-29.xml"
"objectName","","","equipment","baggage","1862-06-29","1862-06-29.xml"
