element,key,ref,type,tagged_content,date,source_file
"name","","","Weather","Bright and warm","","1862-04-02.xml"
"orgName","","","","2nd Maryland","","1862-04-02.xml"
"placeName","","","","the river","","1862-04-02.xml"
"persName","Jesse Reno","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper086","real","Gen. Reno","","1862-04-02.xml"
"placeName","","","","camp","","1862-04-02.xml"
"placeName","","","","the other side of the river","","1862-04-02.xml"
"orgName","","","","103 & 13 New York","","1862-04-02.xml"
"orgName","","","","2nd Maryland","","1862-04-02.xml"
"orgName","","","","17 Mass","","1862-04-02.xml"
"placeName","Kingston","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl048","","Kingston","","1862-04-02.xml"
"persName","Charles Merrill","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper020","real","Chas. Merrill","","1862-04-02.xml"
"persName","Warner","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper141","real","Warner","","1862-04-02.xml"
"persName","Aaron Smith","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper006","real","Aaron Smith","","1862-04-02.xml"
