element,key,ref,type,tagged_content,date,source_file
"name","","","weather","day was pleasant","1862-03-05","1862-03-05.xml"
"name","","","weather","the water rough","1862-03-05","1862-03-05.xml"
"name","","","weather","threatened storm","1862-03-05","1862-03-05.xml"
"name","","","weather","sunset was very fine","1862-03-05","1862-03-05.xml"
"orgName","","","","My company","1862-03-05","1862-03-05.xml"
"objectName","","","equipment","rifles","1862-03-05","1862-03-05.xml"
"objectName","","","readable","letter","1862-03-05","1862-03-05.xml"
"objectName","","","readable","letters","1862-03-05","1862-03-05.xml"
"persName","Dr. Noble","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper130","","Dr. Noble","1862-03-05","1862-03-05.xml"
"objectName","","","Ship","Scout","1862-03-05","1862-03-05.xml"
"persName","","","Surgeon","Our surgeon","1862-03-05","1862-03-05.xml"
"placeName","Fort Bartow","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl004","","Ft. Bartow","1862-03-05","1862-03-05.xml"
"objectName","","","drink","water","1862-03-05","1862-03-05.xml"
"objectName","","","equipment","condenser","1862-03-05","1862-03-05.xml"
"persName","Nathanial Banks","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper094","real","Banks","1862-03-05","1862-03-05.xml"
"placeName","Leesburg, VA","","Town","Leesburg","1862-03-05","1862-03-05.xml"
"objectName","","","Ship","Pilot-boy","1862-03-05","1862-03-05.xml"
"placeName","Potomac River","","River","Potomac","1862-03-05","1862-03-05.xml"
