element,key,ref,type,tagged_content,date,source_file
"placeName","Hatteras Inlet","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl045","Inlet","Hatteras","","1862-03-12.xml"
"placeName","New Berne","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl059","","New Berne","","1862-03-12.xml"
"placeName","Ocracoke inlet","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl064","Inlet","Ocracoke inlet","","1862-03-12.xml"
"placeName","Brant Island","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl006","Island","Brant island","","1862-03-12.xml"
"placeName","Brant Island","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl006","","Island shoals","","1862-03-12.xml"
"placeName","Pamlico Sound","","Water","Pamlico","","1862-03-12.xml"
"placeName","Neuse River","","River","Neuse","","1862-03-12.xml"
"placeName","New Berne","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl059","","New Berne","","1862-03-12.xml"
"placeName","Neuse River","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl058","River","Neuse River","","1862-03-12.xml"
"placeName","New Berne","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl059","","New Berne","","1862-03-12.xml"
"placeName","Picket","","Ship","Picket","","1862-03-12.xml"
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","","Morris","","1862-03-12.xml"
"placeName","Merrimac","","Ship","Merrimac","","1862-03-12.xml"
"placeName","Norfolk, Virginia","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl062","","Norfolk","","1862-03-12.xml"
"placeName","Congress","","Ship","Congress","","1862-03-12.xml"
"placeName","Minnesota","","Ship","Minnesota","","1862-03-12.xml"
"placeName","Cumberland","","Ship","Cumberland","","1862-03-12.xml"
"placeName","","","Ship","Little [?]","","1862-03-12.xml"
"placeName","Norfolk, Virginia","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl062","","Norfolk","","1862-03-12.xml"
"persName","","","","adjt","","1862-03-12.xml"
"placeName","Pennsylvania","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl067","","Pennsylvania","","1862-03-12.xml"
