element,key,ref,type,tagged_content,date,source_file
"name","","","weather","The morning was dark and lowering","","1862-05-24.xml"
"persName","Jacob G. Beaver","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper003","","Beaver","","1862-05-24.xml"
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","","Morris","","1862-05-24.xml"
"name","","","weather","a heavy rain came on - we went afterwards between cloud bursting. The rain continued at intervals during the night","","1862-05-24.xml"
"objectName","","","ship","steamer Burnside","","1862-05-24.xml"
"placeName","Fort Monroe","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl037","","Fortress Monroe","","1862-05-24.xml"
"placeName","","","","New York.","","1862-05-24.xml"
