element,key,ref,type,tagged_content,date,source_file
"name","","","weather","dark","1862-06-09","1862-06-09.xml"
"name","","","weather","rain","1862-06-09","1862-06-09.xml"
"name","","","weather","rained","1862-06-09","1862-06-09.xml"
"orgName","","","military","brigade","1862-06-09","1862-06-09.xml"
"orgName","","","military","21 Mass","1862-06-09","1862-06-09.xml"
"orgName","","","military","1st brigade","1862-06-09","1862-06-09.xml"
"persName","Reno","","general","Gen Reno","1862-06-09","1862-06-09.xml"
"persName","Lynch","","general","Lynch","1862-06-09","1862-06-09.xml"
"persName","Hassenplug","","captain","Hassenplug","1862-06-09","1862-06-09.xml"
"placeName","plantation","","","plantation","1862-06-09","1862-06-09.xml"
"name","","","","honey","1862-06-09","1862-06-09.xml"
"objectName","","","","honey","1862-06-09","1862-06-09.xml"
"name","","","","mutton","1862-06-09","1862-06-09.xml"
"objectName","","","","mutton","1862-06-09","1862-06-09.xml"
"objectName","","","equipment","guns","1862-06-09","1862-06-09.xml"
"objectName","","","nature","bees","1862-06-09","1862-06-09.xml"
"objectName","","","equipment","wool","1862-06-09","1862-06-09.xml"
"placeName","","","plantation","plantation","1862-06-09","1862-06-09.xml"
"objectName","","","readable","mail","1862-06-09","1862-06-09.xml"
