element,key,ref,type,tagged_content,date,source_file
"persName","","","","Charles Kleckner","1862-01-18","1862-01-18.xml"
"persName","Charles Kleckner","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper087","","Charles Kleckner","1862-01-18","1862-01-18.xml"
"persName","Dick Coulter","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper025","real","Dick's","1862-01-18","1862-01-18.xml"
"objectName","","","","cigars","1862-01-18","1862-01-18.xml"
"objectName","","","","cigar","1862-01-18","1862-01-18.xml"
"persName","Gen. Jesse Reno","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper086","","Reno","1862-01-18","1862-01-18.xml"
"objectName","","","vehicle","gunboat","1862-01-18","1862-01-18.xml"
"objectName","","","vehicle","gunboats","1862-01-18","1862-01-18.xml"
"objectName","","","vehicle","schooner","1862-01-18","1862-01-18.xml"
"objectName","","","vehicle","ships","1862-01-18","1862-01-18.xml"
"persName","Mr. Carpenter","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper092","","Mr Carpenter","1862-01-18","1862-01-18.xml"
"persName","Capt. Potts","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper093","","Capt. Potts","1862-01-18","1862-01-18.xml"
"placeName","Reading","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl074","","Reading","1862-01-18","1862-01-18.xml"
"placeName","Pottsville","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl099","","Pottsville","1862-01-18","1862-01-18.xml"
"name","","","weather","cold and windy","1862-01-18","1862-01-18.xml"
"name","","","weather","sun","1862-01-18","1862-01-18.xml"
