element,key,ref,type,tagged_content,date,source_file
"name","","","weather","day was gloomy","","1861-11-24.xml"
"name","","","weather","air windy & this evening it commenced snowing.","","1861-11-24.xml"
"persName","George Shorkley","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper002","","Shorkleley","","1861-11-24.xml"
"persName","Jacob G. Beaver","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper003","","Beaver","","1861-11-24.xml"
"placeName","Navy Yard","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl057","","navy yard","","1861-11-24.xml"
"placeName","","","","town &","","1861-11-24.xml"
"placeName","","","","cemetery","","1861-11-24.xml"
"placeName","Navy Yard","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl057","","navy yard","","1861-11-24.xml"
"placeName","","","","Cemetery","","1861-11-24.xml"
"persName","","","","Randalls","","1861-11-24.xml"
"placeName","","","","cemetery","","1861-11-24.xml"
"placeName","","","","officer","","1861-11-24.xml"
"placeName","","","","Anapolis Md. Camp Burnside","","1861-11-24.xml"
"persName","Thomas Grier","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper076","","Tom Grier","","1861-11-24.xml"
"placeName","","","","Presbyterian Church","","1861-11-24.xml"
"name","","","weather","rain and snow","","1861-11-24.xml"
