element,key,ref,type,tagged_content,date,source_file
"name","","","Weather","Bright & pleasant","","1862-01-28.xml"
"persName","","","","Morris","","1862-01-28.xml"
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","","Morris","","1862-01-28.xml"
"objectName","","","","missing schooners","","1862-01-28.xml"
"persName","","","","Col. Satterlie","","1862-01-28.xml"
"persName","Col. Satterlie","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Col. Satterlie","","1862-01-28.xml"
"orgName","","","","signal corps","","1862-01-28.xml"
"persName","","","","Lt. Reed","","1862-01-28.xml"
"persName","Lt. Reed","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Lt. Reed","","1862-01-28.xml"
"name","","","Weather","the fog","","1862-01-28.xml"
"placeName","","","","Chesapeake","","1862-01-28.xml"
"placeName","Chesapeake","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml","","Chesapeake","","1862-01-28.xml"
"placeName","","","","Annapolis","","1862-01-28.xml"
"placeName","Annapolis, MD","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl002","","Annapolis","","1862-01-28.xml"
"placeName","","","","Fortress Monroe","","1862-01-28.xml"
"placeName","Fort Monroe","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl037","","Fortress Monroe","","1862-01-28.xml"
"name","","","Weather","the storm","","1862-01-28.xml"
"placeName","","","","Hatteras Inlet","","1862-01-28.xml"
"placeName","Hatteras Inlet","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_gazetteer.xml#linnpl045","","Hatteras Inlet","","1862-01-28.xml"
"name","","","Weather","the storm of Thursday","","1862-01-28.xml"
"name","","","Weather","the gulf stream","","1862-01-28.xml"
"persName","","","","Rodarmel","","1862-01-28.xml"
"persName","Rodumel","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper111","","Rodarmel","","1862-01-28.xml"
"persName","","","","Saml Wilson","","1862-01-28.xml"
"persName","Saml Wilson","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Saml Wilson","","1862-01-28.xml"
"orgName","","","","Cavalry Company","","1862-01-28.xml"
"orgName","","","","Corman's regiment","","1862-01-28.xml"
"objectName","","","","letters","","1862-01-28.xml"
"persName","","","","North Snyder","","1862-01-28.xml"
"persName","North Snyder","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","North Snyder","","1862-01-28.xml"
