element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","Gen Reno","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Gen Reno","","Tuesday 31st.","1861-12-31_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Lt Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Lt Morris","","Tuesday 31st.","1861-12-31_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Lt Reno,","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Lt Reno,","","Tuesday 31st.","1861-12-31_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Gen Park","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Gen Park","","Tuesday 31st.","1861-12-31_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Lt Reno","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Lt Reno","","Tuesday 31st.","1861-12-31_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Beaver","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Beaver","","Tuesday 31st.","1861-12-31_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Morris","","Tuesday 31st.","1861-12-31_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","Zouaves","","Tuesday 31st.","1861-12-31_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Tom. Grier","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Tom. Grier","","Tuesday 31st.","1861-12-31_0_0_0_0_0_0_0_0_0_0_0_0.xml"
