element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","","","","Capt. Renaut","1862-02-04","Tuesday February 4","1862-02-04_0_0_0_0_0_0_0.xml"
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","","Morris","1862-02-04","Tuesday February 4","1862-02-04_0_0_0_0_0_0_0.xml"
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","real","Morris","1862-02-04","Tuesday February 4","1862-02-04_0_0_0_0_0_0_0.xml"
"persName","Capt. Neal","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper089","","Neill","1862-02-04","Tuesday February 4","1862-02-04_0_0_0_0_0_0_0.xml"
