element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","Charles Mallory","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper019","real","Mr Malory","1862-02-02","Sunday Feb. 2. 1862.","1862-02-02_0_0_0_0_0_0.xml"
"persName","John Blair Linn","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper051","","John","1862-02-02","Sunday Feb. 2. 1862.","1862-02-02_0_0_0_0_0_0.xml"
"persName","Ambrose Burnside","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper008","real","Burnside","1862-02-02","Sunday Feb. 2. 1862.","1862-02-02_0_0_0_0_0_0.xml"
