element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","Jesse Reno","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper086","real","Gen Reno","","","1862-04-04_0_0_0_0_0_0_0_0_0_0.xml"
"persName","John Hartranft","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper056","real","Col. Hastraupt","","","1862-04-04_0_0_0_0_0_0_0_0_0_0.xml"
"persName","George Shorkley","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper002","","Shorkley","","","1862-04-04_0_0_0_0_0_0_0_0_0_0.xml"
