element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","Margery, Aunt","http://viaf.org/viaf/68693074","identifiable","Aunt Margery","","","1862-01-10_0_0_0_0_0_0_0_1_0_0_0.xml"
"persName","Annie","http://www.wikidata.org/entity/Q566893","","Annie","","","1862-01-10_0_0_0_0_0_0_0_1_0_0_0.xml"
"persName","Thomas Bell","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper072","","Lt Col Bell","","","1862-01-10_0_0_0_0_0_0_0_1_0_0_0.xml"
"persName","","","identifiable","Hassenflug","","","1862-01-10_0_0_0_0_0_0_0_1_0_0_0.xml"
"persName","Smith, John","http://vocab.getty.edu/ulan/500006468","","John Smith,","","","1862-01-10_0_0_0_0_0_0_0_1_0_0_0.xml"
"persName","Blair","http://www.wikidata.org/entity/Q12785963","","Blair","","","1862-01-10_0_0_0_0_0_0_0_1_0_0_0.xml"
