element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","John Morris","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper057","real","Lt Morris","","","1862-01-08_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","John Hartranft","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper056","","Col Hartranft","","","1862-01-08_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Annie Catherine Linn","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper015","real","Annie","","","1862-01-08_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","John Blair Linn","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper051","real","John","","","1862-01-08_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","George","","","1862-01-08_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Linn John Blair","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper007","real","Lt Blair.","","","1862-01-08_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Linn John Blair","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper007","","Blair","","","1862-01-08_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","Lloyds","","","1862-01-08_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Thomas Bell","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper072","real","Lt Col Bell","","","1862-01-08_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
