element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","","","","one rebel","","Tuesday April 1. 1862.","1862-04-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Robert Ransom","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper068","real","Gen. Ransom","","Tuesday April 1. 1862.","1862-04-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","The Admiral","","Tuesday April 1. 1862.","1862-04-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Fitzpatrick","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper123","real","Fitzpatrick","","Tuesday April 1. 1862.","1862-04-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Ambrose Burnside","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper008","real","Gen Burnside","","Tuesday April 1. 1862.","1862-04-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Thomas Bell","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper072","","Col. Bell","","Tuesday April 1. 1862.","1862-04-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Thomas Bell","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper072","real","Lt Bell","","Tuesday April 1. 1862.","1862-04-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Capt. McRae","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper119","","Capt. McRae","","Tuesday April 1. 1862.","1862-04-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","his brother","","Tuesday April 1. 1862.","1862-04-01_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0.xml"
