element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","","","","Commander of Regiments","","Camp Union near Annapolis Md. December 30. Monday 30. 1861.","1861-12-30_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Frank Beale","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Frank Beale","","Camp Union near Annapolis Md. December 30. Monday 30. 1861.","1861-12-30_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Tom Grier","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml","","Tom Grier","","Camp Union near Annapolis Md. December 30. Monday 30. 1861.","1861-12-30_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Reno.","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml",""," Reno.","","Camp Union near Annapolis Md. December 30. Monday 30. 1861.","1861-12-30_0_0_0_0_0_0_0_0_0_0.xml"
