element,key,ref,type,tagged_content,date_when,date_label,source_file
"persName","John Blair Linn","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper051","","Lt Blair","","Monday 10","1862-02-10_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","Brown","","Monday 10","1862-02-10_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Connolly","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper129","real","Conolly","","Monday 10","1862-02-10_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","","","","cook","","Monday 10","1862-02-10_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Dick Coulter","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper025","","Dick","","Monday 10","1862-02-10_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Capt. Rowan","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper126","real","Capt Rowan","","Monday 10","1862-02-10_0_0_0_0_0_0_0_0_0_0_0_0.xml"
"persName","Capt. Rowan","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper126","","Rowan","","Monday 10","1862-02-10_0_0_0_0_0_0_0_0_0_0_0_0.xml"
